game_id,event_idx,period,period_time,eventType,x,y,empty_net,raw_shot_type,game_seconds,last_eventType,last_x,last_y,last_game_seconds,time_since_last_event,dist_from_last_event,shot_distance,shot_angle,shotType,is_goal,isRebound,angle_change_on_rebound,play_speed
2016020009,660,3,17:55,goal,1.0,-20.0,0,slap,3475,faceoff,21.0,23.0,3469.0,6.0,47.4236228055175,90.24411338142782,12.804266065286752,slap,1,0,0.0,7.903937134252917
2016020023,91,1,09:22,goal,2.0,10.0,0,snap,562,blocked-shot,80.0,10.0,560.0,2.0,78.0,87.5728268357257,6.556946498163389,snap,1,1,41.45584100601995,39.0
2016020031,268,2,03:53,goal,6.0,-12.0,0,wrist,1433,blocked-shot,70.0,-1.0,1396.0,37.0,64.93843238021688,83.86298349093002,8.226722464108173,wrist,1,1,5.213934959924833,1.7550927670328886
2016020033,682,3,18:24,goal,4.0,7.0,0,wrist,3504,hit,66.0,-25.0,3498.0,6.0,69.77105417004964,85.28774824088158,4.7078522443722255,wrist,1,0,0.0,11.628509028341606
2016020091,702,3,17:41,goal,9.0,-31.0,0,wrist,3461,missed-shot,7.0,-34.0,3442.0,19.0,3.605551275463989,85.7962703152066,21.18134950026624,wrist,1,1,1.339216102630651,0.1897658566033678
2016020102,653,3,19:16,goal,3.0,40.0,0,wrist,3556,takeaway,46.0,-4.0,3553.0,3.0,61.5223536610881,94.847245611035,24.94390526342458,wrist,1,0,0.0,20.5074512203627
2016020182,594,3,19:24,goal,7.0,-38.0,0,slap,3564,takeaway,24.0,-40.0,3561.0,3.0,17.11724276862369,90.37698822156004,24.863696571751863,slap,1,0,0.0,5.70574758954123
2016020187,579,3,18:28,goal,4.0,3.0,0,wrist,3508,missed-shot,82.0,36.0,3499.0,9.0,84.69356528095862,85.05292469985967,2.0213649403560154,wrist,1,1,76.9750942078945,9.410396142328736
2016020199,673,3,18:11,goal,15.0,-37.0,0,wrist,3491,blocked-shot,54.0,0.0,3468.0,23.0,53.75872022286245,82.73451516749222,26.56505117707799,wrist,1,1,26.56505117707799,2.3373356618635848
2016020298,610,3,17:51,goal,4.0,-26.0,0,wrist,3471,faceoff,0.0,0.0,3452.0,19.0,26.30589287593181,88.88756943465155,17.007946955407327,wrist,1,0,0.0,1.3845206776806216
2016020305,304,2,05:43,goal,8.0,-25.0,0,slap,1543,giveaway,53.0,-23.0,1524.0,19.0,45.044422518220834,84.77027781009096,17.152421740211835,slap,1,0,0.0,2.37075907990636
2016020342,706,3,19:36,goal,7.0,-39.0,0,snap,3576,faceoff,0.0,0.0,3573.0,3.0,39.6232255123179,90.80198235721508,25.43621638041735,snap,1,0,0.0,13.2077418374393
2016020413,649,3,18:27,goal,9.0,-20.0,0,backhand,3507,missed-shot,75.0,-23.0,3488.0,19.0,66.06814663663572,82.46211251235322,14.03624346792648,backhand,1,1,44.63506366426937,3.477270875612406
2016020423,587,3,19:08,goal,15.0,36.0,0,wrist,3548,blocked-shot,68.0,-2.0,3529.0,19.0,65.21502894272147,82.29216244576394,25.942295489871672,wrist,1,1,20.501963458866165,3.432369944353762
2016020424,612,3,19:01,goal,7.0,-27.0,0,wrist,3541,faceoff,21.0,-22.0,3506.0,35.0,14.866068747318506,86.33075929238663,18.22507511135446,wrist,1,0,0.0,0.4247448213519573
2016020431,631,3,19:34,goal,13.0,-36.0,0,wrist,3574,blocked-shot,45.0,-4.0,3552.0,22.0,45.254833995939045,84.09518416651456,25.34617594194669,wrist,1,1,20.151747034211883,2.05703790890632
2016020434,620,3,19:02,goal,9.0,22.0,0,wrist,3542,shot-on-goal,44.0,-21.0,3516.0,26.0,55.44366510251645,82.96987405076617,15.376251248826188,wrist,1,1,9.640642229273835,2.132448657789094
2016020452,597,3,18:56,goal,1.0,-37.0,0,backhand,3536,blocked-shot,51.0,-8.0,3532.0,4.0,57.8013840664737,95.46203433826454,22.804540471321047,backhand,1,1,10.915882431693072,14.450346016618424
2016020459,663,3,19:13,goal,2.0,15.0,0,wrist,3553,giveaway,60.0,-36.0,3550.0,3.0,77.23341245859851,88.28363381737297,9.782407031807288,wrist,1,0,0.0,25.74447081953284
2016020473,638,3,16:33,goal,8.0,-16.0,0,wrist,3393,takeaway,92.0,-19.0,3381.0,12.0,84.0535543567314,82.56512580987206,11.173838241814732,wrist,1,0,0.0,7.00446286306095
2016020606,619,3,18:38,goal,1.0,-35.0,0,wrist,3518,takeaway,8.0,-26.0,3485.0,33.0,11.40175425099138,94.70480452437458,21.6890649646158,wrist,1,0,0.0,0.3455077045754963
2016020607,639,3,18:46,goal,0.0,1.0,0,wrist,3526,blocked-shot,72.0,0.0,3518.0,8.0,72.00694410957877,89.00561780022652,0.6437457141753808,wrist,1,1,0.6437457141753808,9.000868013697346
